Monthly Average Facular and Sunspot Indices from calc_spot_fac_cycle_history.pro
Spot Index is Sunspot Blocking Function with Area-Independent Contrast
Facular Index is on GOME Mg index scale
Mon Jun 15 10:20:21 2015
  YEAR  MONTH        SPOTAV          FACAV-CYCLE
  1882     1        505.2106        0.15546908
  1882     2        975.1804        0.15673034
  1882     3       1352.6442        0.15698703
  1882     4       2517.9660        0.15777173
  1882     5       2104.8058        0.15593211
  1882     6        927.4523        0.15471086
  1882     7        694.1440        0.15494143
  1882     8        925.1323        0.15463650
  1882     9       1350.8190        0.15512785
  1882    10       1933.2087        0.15562676
  1882    11       2770.4887        0.15683224
  1882    12        476.8252        0.15547475
  1883     1       1054.9451        0.15584773
  1883     2        948.4092        0.15542047
  1883     3        754.6338        0.15527206
  1883     4       1481.7003        0.15652848
  1883     5        370.8174        0.15533031
  1883     6       1775.8158        0.15616884
  1883     7       2409.9657        0.15690633
  1883     8        716.1058        0.15601250
  1883     9       1427.8067        0.15666819
  1883    10       2000.4501        0.15765968
  1883    11       2022.3264        0.15905957
  1883    12       1638.9594        0.15879257
  1884     1       1908.6837        0.15975136
  1884     2       1804.6265        0.15970949
  1884     3       1572.1856        0.15948405
  1884     4       1880.3472        0.15825411
  1884     5       1401.8545        0.15793167
  1884     6        618.6085        0.15721227
  1884     7        717.9752        0.15647206
  1884     8        862.7967        0.15643629
  1884     9       1317.6950        0.15665366
  1884    10       1220.7337        0.15585129
  1884    11        543.9131        0.15521270
  1884    12       1114.9476        0.15588087
  1885     1        649.6826        0.15595653
  1885     2       1338.8460        0.15692187
  1885     3        945.4103        0.15567147
  1885     4       1069.0245        0.15575576
  1885     5       1271.5158        0.15765710
  1885     6       2132.5784        0.15759586
  1885     7       1321.2369        0.15689430
  1885     8        742.1639        0.15569675
  1885     9        783.0957        0.15509445
  1885    10        818.3050        0.15477962
  1885    11        524.9544        0.15425651
  1885    12        253.8223        0.15349385
  1886     1        660.9897        0.15338229
  1886     2        384.6093        0.15359544
  1886     3       1266.1125        0.15494740
  1886     4        706.6820        0.15460340
  1886     5        797.2243        0.15360515
  1886     6        435.8879        0.15351799
  1886     7        543.3474        0.15322831
  1886     8        141.0715        0.15278668
  1886     9        259.6605        0.15262018
  1886    10         76.2289        0.15162103
  1886    11          2.5099        0.15097758
  1886    12        245.9063        0.15158874
  1887     1        108.1517        0.15179625
  1887     2         83.6714        0.15199324
  1887     3         27.5059        0.15149782
  1887     4         55.7108        0.15153756
  1887     5        307.5952        0.15228835
  1887     6        354.5380        0.15257233
  1887     7        386.0630        0.15272129
  1887     8        210.5515        0.15244844
  1887     9        178.5025        0.15149398
  1887    10         83.1794        0.15143011
  1887    11         52.3995        0.15147120
  1887    12        682.1128        0.15194306
  1888     1        153.0741        0.15200307
  1888     2        117.8637        0.15133396
  1888     3        115.7191        0.15125880
  1888     4         26.7924        0.15129768
  1888     5        218.1035        0.15115382
  1888     6         50.2760        0.15119094
  1888     7         24.1726        0.15111126
  1888     8         60.5373        0.15132096
  1888     9        137.8616        0.15156133
  1888    10         10.0190        0.15108108
  1888    11        309.7131        0.15134455
  1888    12        107.3148        0.15120502
  1889     1          4.0031        0.15078403
  1889     2         45.6920        0.15099003
  1889     3         27.6352        0.15121426
  1889     4         34.9931        0.15098673
  1889     5          9.9479        0.15083226
  1889     6        260.0671        0.15116637
  1889     7        188.8759        0.15169179
  1889     8        319.7234        0.15201498
  1889     9        100.3649        0.15137875
  1889    10         14.3369        0.15089468
  1889    11          0.0000        0.15070056
  1889    12         56.4307        0.15104304
  1890     1         37.3467        0.15114058
  1890     2          1.2063        0.15082216
  1890     3         64.8183        0.15091213
  1890     4         13.8597        0.15094772
  1890     5         26.7427        0.15124478
  1890     6          9.4167        0.15108272
  1890     7        137.9410        0.15158019
  1890     8        231.8530        0.15176246
  1890     9        267.1404        0.15219981
  1890    10        260.1836        0.15168392
  1890    11        245.5408        0.15143508
  1890    12         82.1578        0.15169544
  1891     1        227.9370        0.15233237
  1891     2        334.7884        0.15318131
  1891     3        138.6108        0.15285903
  1891     4        405.3093        0.15380305
  1891     5        653.0880        0.15554169
  1891     6        738.7312        0.15599155
  1891     7       1102.0728        0.15607071
  1891     8        515.2281        0.15574060
  1891     9       1395.3982        0.15591959
  1891    10        757.4047        0.15611318
  1891    11        758.4077        0.15560624
  1891    12        563.5205        0.15529454
  1892     1       1295.3538        0.15746558
  1892     2       2114.3939        0.15743803
  1892     3        813.4520        0.15665377
